Name,New Address,Website,Rating,Tag,Image_1,Image_2,Image_3,Image_4
부산식당,03145 서울시 종로구 인사동11길 12,https://korean.visitseoul.net/restaurants/Busan-Sikdang-E/ENP011877?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP011877,4.5,"#부산식당, #된장찌개, #안국역, #인사동맛집, #오징어볶음, #미쉐린가이드, #삼치구이",부산식당_1.jpg,부산식당_2.jpg,부산식당_3.jpg,부산식당_4.jpg
손칼국수,03076 서울시 종로구 혜화로 10-5,https://korean.visitseoul.net/restaurants/Son-Kalguksu-CN/CNP006830?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP006830,4.5,"#대학로음식점, #혜화맛집, # 혜화, # 손칼국수, #칼국수맛집, #대학로, #혜화음식점, #빈대떡, #대학로맛집, #칼국수",손칼국수_1.jpg,손칼국수_2.jpg,손칼국수_3.jpg,손칼국수_4.jpg
마지,서울시 종로구 자하문로5길 19 (우)03041,https://korean.visitseoul.net/restaurants/「摩旨」餐廳/TCP014866?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP014866,5.0,"#마지, # 비건맛집, #사찰음식, # 사찰음식맛집, # 채식전문점, # 자연식, # 채식, # 경복궁맛집, # 내방, # 건강맛집, # 한옥맛집, # 채식맛집, # 웰빙음식, # 한식맛집, # 한정식, # 종로맛집",마지_1.jpg,마지_2.jpg,마지_3.jpg,마지_4.jpg
신안촌,03169 서울특별시 종로구 사직로12길 8 (내자동),https://korean.visitseoul.net/restaurants/신안촌-KR/KOP006304?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP006304,4.5,"#홍어, #한식, #홍어맛집, #신안촌, #낙지, #낙지연포탕, #남도음식, #경복궁맛집",신안촌_1.jpg,신안촌_2.jpg,신안촌_3.jpg,신안촌_4.jpg
앤트러사이트 합정점,04073 서울시 마포(마포)구 도정로 5길 10 (합정동),https://korean.visitseoul.net/restaurants/Anthracite-ハプチョン合井店/JPP020585?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP020585,4.5,"#서울디저트맛집, #디저트, #합정동카페거리, #앤트러사이트, #합정카페추천, #앤트러사이트합정점, #서울카페데이트, #합정동맛집, #서울카페추천, #서울가볼만한곳",앤트러사이트 합정점_1.jpg,앤트러사이트 합정점_2.jpg,앤트러사이트 합정점_3.jpg,앤트러사이트 합정점_4.jpg
신옛찻집,03145 서울시 종로구 인사동길 47-8,https://korean.visitseoul.net/restaurants/Sinyetchatjip/ENP013228?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP013228,4.5,"#안국역, # 전통찻집, # 떡과차, # 인사동, # 전통차, # 인사동카페, # 신옛찻집, #인사동찻집, # 찻집",신옛찻집_1.jpg,신옛찻집_2.jpg,신옛찻집_3.jpg,신옛찻집_4.jpg
마포옥,04165 서울특별시 마포구 토정로 312 (용강동),https://korean.visitseoul.net/restaurants/마포옥1/KOP007160?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP007160,4.5,"#마포, #마포옥, #설렁탕음식점, #차돌탕, #한강, #마포음식점, #설렁탕, #수요미식회",마포옥_1.jpg,마포옥_2.jpg,마포옥_3.jpg,마포옥_4.jpg
커피투어,(우)03175 서울시 종로구 경희궁2길 12,https://korean.visitseoul.net/restaurants/咖啡旅行Coffee-Tour-TC/TCP014488?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP014488,4.5,"#광화문맛집, #커피투어, #커피전문점, #티라미수, #광화문카페, #광화문역, #핸드드립커피",커피투어_1.jpg,커피투어_2.jpg,커피투어_3.jpg,커피투어_4.jpg
고래불,06239 서울특별시 강남구 논현로79길 62,https://korean.visitseoul.net/restaurants/Goraebul/ENP003531?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP003531,4.5,"#동해안향토음식, #곰치국, #강남맛집, #수요미식회, #고래불, #해산물맛집, #고래고기, #문어숙회, #물곰탕, #강남역",고래불_1.jpg,고래불_2.jpg,고래불_3.jpg,고래불_4.jpg
을밀대,(우)04138 서울시 마포구 성문길 24,https://korean.visitseoul.net/restaurants/Eulmildae-TC/TCP004240?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP004240,4.5,"# 냉면, # 냉면맛집, # 서강대맛집, #을밀대, #서울6대냉면, # 마포맛집, #수요미식회, #대흥역, #서강대음식점, #평양식, #마포음식점, #녹두전",을밀대_1.jpg,을밀대_2.jpg,을밀대_3.jpg,을밀대_4.jpg
